date,product_id,stock_level,stock_before_sale,reorder_triggered,order_quantity
2022-04-16,SKU_0001,4907,4957,0,0
2022-04-17,SKU_0001,4839,4907,0,0
2022-04-18,SKU_0001,4763,4839,0,0
2022-04-19,SKU_0001,4696,4763,0,0
2022-04-20,SKU_0001,4628,4696,0,0
2022-04-21,SKU_0001,4547,4628,0,0
2022-04-22,SKU_0001,4466,4547,0,0
2022-04-23,SKU_0001,4415,4466,0,0
2022-04-24,SKU_0001,4353,4415,0,0
2022-04-25,SKU_0001,4277,4353,0,0
2022-04-27,SKU_0001,4204,4277,0,0
2022-04-28,SKU_0001,4123,4204,0,0
2022-04-29,SKU_0001,4033,4123,0,0
2022-04-30,SKU_0001,3979,4033,0,0
2022-05-01,SKU_0001,3917,3979,0,0
2022-05-02,SKU_0001,3790,3917,0,0
2022-05-03,SKU_0001,3706,3790,0,0
2022-05-04,SKU_0001,3565,3706,0,0
2022-05-05,SKU_0001,3446,3565,0,0
2022-05-06,SKU_0001,3283,3446,0,0
2022-05-07,SKU_0001,3195,3283,0,0
2022-05-08,SKU_0001,3142,3195,0,0
2022-05-10,SKU_0001,3069,3142,0,0
2022-05-11,SKU_0001,2991,3069,0,0
2022-05-12,SKU_0001,2924,2991,0,0
2022-05-13,SKU_0001,2860,2924,0,0
2022-05-14,SKU_0001,2792,2860,0,0
2022-05-15,SKU_0001,2726,2792,0,0
2022-05-16,SKU_0001,2654,2726,0,0
2022-05-17,SKU_0001,2562,2654,0,0
2022-05-18,SKU_0001,2482,2562,0,0
2022-05-19,SKU_0001,2416,2482,0,0
2022-05-20,SKU_0001,2344,2416,0,0
2022-05-21,SKU_0001,2285,2344,0,0
2022-05-22,SKU_0001,2230,2285,0,0
2022-05-23,SKU_0001,2139,2230,0,0
2022-05-24,SKU_0001,2044,2139,0,0
2022-05-25,SKU_0001,10152,2044,1,8178
2022-05-26,SKU_0001,10069,10152,0,0
2022-05-27,SKU_0001,9991,10069,0,0
2022-05-28,SKU_0001,9931,9991,0,0
2022-05-29,SKU_0001,9825,9931,0,0
2022-05-30,SKU_0001,9711,9825,0,0
2022-06-01,SKU_0001,9641,9711,0,0
2022-06-02,SKU_0001,9544,9641,0,0
2022-06-03,SKU_0001,9448,9544,0,0
2022-06-04,SKU_0001,9385,9448,0,0
2022-06-05,SKU_0001,9319,9385,0,0
2022-06-06,SKU_0001,9224,9319,0,0
2022-06-07,SKU_0001,9148,9224,0,0
2022-06-08,SKU_0001,9055,9148,0,0
2022-06-09,SKU_0001,8985,9055,0,0
2022-06-10,SKU_0001,8902,8985,0,0
2022-06-11,SKU_0001,8849,8902,0,0
2022-06-12,SKU_0001,8795,8849,0,0
2022-06-13,SKU_0001,8697,8795,0,0
2022-06-14,SKU_0001,8621,8697,0,0
2022-06-16,SKU_0001,8534,8621,0,0
2022-06-17,SKU_0001,8454,8534,0,0
2022-06-18,SKU_0001,8398,8454,0,0
2022-06-19,SKU_0001,8334,8398,0,0
2022-06-20,SKU_0001,8246,8334,0,0
2022-06-21,SKU_0001,8164,8246,0,0
2022-06-22,SKU_0001,8094,8164,0,0
2022-06-23,SKU_0001,8018,8094,0,0
2022-06-24,SKU_0001,7927,8018,0,0
2022-06-25,SKU_0001,7858,7927,0,0
2022-06-26,SKU_0001,7800,7858,0,0
2022-06-27,SKU_0001,7644,7800,0,0
2022-06-28,SKU_0001,7562,7644,0,0
2022-06-29,SKU_0001,7416,7562,0,0
2022-06-30,SKU_0001,7339,7416,0,0
2022-07-01,SKU_0001,7251,7339,0,0
2022-07-02,SKU_0001,7190,7251,0,0
2022-07-04,SKU_0001,7080,7190,0,0
2022-07-05,SKU_0001,6994,7080,0,0
2022-07-06,SKU_0001,6920,6994,0,0
2022-07-07,SKU_0001,6821,6920,0,0
2022-07-08,SKU_0001,6730,6821,0,0
2022-07-09,SKU_0001,6661,6730,0,0
2022-07-10,SKU_0001,6597,6661,0,0
2022-07-11,SKU_0001,6523,6597,0,0
2022-07-12,SKU_0001,6431,6523,0,0
2022-07-13,SKU_0001,6334,6431,0,0
2022-07-14,SKU_0001,6255,6334,0,0
2022-07-15,SKU_0001,6177,6255,0,0
2022-07-16,SKU_0001,6101,6177,0,0
2022-07-17,SKU_0001,6037,6101,0,0
2022-07-18,SKU_0001,5959,6037,0,0
2022-07-19,SKU_0001,5873,5959,0,0
2022-07-20,SKU_0001,5799,5873,0,0
2022-07-22,SKU_0001,5727,5799,0,0
2022-07-23,SKU_0001,5655,5727,0,0
2022-07-25,SKU_0001,5567,5655,0,0
2022-07-26,SKU_0001,5480,5567,0,0
2022-07-27,SKU_0001,5375,5480,0,0
2022-07-28,SKU_0001,5276,5375,0,0
2022-07-29,SKU_0001,5190,5276,0,0
2022-07-30,SKU_0001,5113,5190,0,0
2022-07-31,SKU_0001,5047,5113,0,0
2022-08-01,SKU_0001,4957,5047,0,0
2022-08-02,SKU_0001,4858,4957,0,0
2022-08-03,SKU_0001,4752,4858,0,0
2022-08-04,SKU_0001,4680,4752,0,0
2022-08-05,SKU_0001,4599,4680,0,0
2022-08-06,SKU_0001,4517,4599,0,0
2022-08-07,SKU_0001,4437,4517,0,0
2022-08-08,SKU_0001,4283,4437,0,0
2022-08-09,SKU_0001,4192,4283,0,0
2022-08-10,SKU_0001,4060,4192,0,0
2022-08-11,SKU_0001,3900,4060,0,0
2022-08-12,SKU_0001,3717,3900,0,0
2022-08-13,SKU_0001,3573,3717,0,0
2022-08-14,SKU_0001,3510,3573,0,0
2022-08-15,SKU_0001,3323,3510,0,0
2022-08-16,SKU_0001,3194,3323,0,0
2022-08-17,SKU_0001,3034,3194,0,0
2022-08-18,SKU_0001,2958,3034,0,0
2022-08-19,SKU_0001,2810,2958,0,0
2022-08-20,SKU_0001,2737,2810,0,0
2022-08-21,SKU_0001,2611,2737,0,0
2022-08-22,SKU_0001,2532,2611,0,0
2022-08-23,SKU_0001,2429,2532,0,0
2022-08-24,SKU_0001,2323,2429,0,0
2022-08-25,SKU_0001,2242,2323,0,0
2022-08-26,SKU_0001,2144,2242,0,0
2022-08-27,SKU_0001,2066,2144,0,0
2022-08-28,SKU_0001,10170,2066,1,8178
2022-08-29,SKU_0001,10007,10170,0,0
2022-08-31,SKU_0001,9905,10007,0,0
2022-09-01,SKU_0001,9813,9905,0,0
2022-09-02,SKU_0001,9643,9813,0,0
2022-09-04,SKU_0001,9502,9643,0,0
2022-09-05,SKU_0001,9367,9502,0,0
2022-09-06,SKU_0001,9265,9367,0,0
2022-09-07,SKU_0001,9189,9265,0,0
2022-09-08,SKU_0001,9014,9189,0,0
2022-09-09,SKU_0001,8830,9014,0,0
2022-09-10,SKU_0001,8693,8830,0,0
2022-09-11,SKU_0001,8553,8693,0,0
2022-09-12,SKU_0001,8467,8553,0,0
2022-09-13,SKU_0001,8368,8467,0,0
2022-09-14,SKU_0001,8286,8368,0,0
2022-09-15,SKU_0001,8173,8286,0,0
2022-09-16,SKU_0001,8069,8173,0,0
2022-09-17,SKU_0001,8005,8069,0,0
2022-09-18,SKU_0001,7918,8005,0,0
2022-09-19,SKU_0001,7820,7918,0,0
2022-09-20,SKU_0001,7714,7820,0,0
2022-09-21,SKU_0001,7557,7714,0,0
2022-09-22,SKU_0001,7363,7557,0,0
2022-09-23,SKU_0001,7171,7363,0,0
2022-09-24,SKU_0001,7066,7171,0,0
2022-09-25,SKU_0001,6917,7066,0,0
2022-09-27,SKU_0001,6766,6917,0,0
2022-09-28,SKU_0001,6604,6766,0,0
2022-09-30,SKU_0001,6505,6604,0,0
2022-10-01,SKU_0001,6443,6505,0,0
2022-10-02,SKU_0001,6334,6443,0,0
2022-10-03,SKU_0001,6226,6334,0,0
2022-10-04,SKU_0001,6143,6226,0,0
2022-10-05,SKU_0001,5988,6143,0,0
2022-10-06,SKU_0001,5852,5988,0,0
2022-10-07,SKU_0001,5671,5852,0,0
2022-10-08,SKU_0001,5546,5671,0,0
2022-10-09,SKU_0001,5410,5546,0,0
2022-10-10,SKU_0001,5315,5410,0,0
2022-10-11,SKU_0001,5211,5315,0,0
2022-10-12,SKU_0001,5129,5211,0,0
2022-10-13,SKU_0001,5033,5129,0,0
2022-10-14,SKU_0001,4943,5033,0,0
2022-10-15,SKU_0001,4879,4943,0,0
2022-10-16,SKU_0001,4789,4879,0,0
2022-10-17,SKU_0001,4691,4789,0,0
2022-10-18,SKU_0001,4578,4691,0,0
2022-10-19,SKU_0001,4469,4578,0,0
2022-10-20,SKU_0001,4389,4469,0,0
2022-10-21,SKU_0001,4284,4389,0,0
2022-10-22,SKU_0001,4215,4284,0,0
2022-10-23,SKU_0001,4137,4215,0,0
2022-10-24,SKU_0001,3962,4137,0,0
2022-10-25,SKU_0001,3798,3962,0,0
2022-10-26,SKU_0001,3633,3798,0,0
2022-10-27,SKU_0001,3482,3633,0,0
2022-10-28,SKU_0001,3391,3482,0,0
2022-10-29,SKU_0001,3237,3391,0,0
2022-10-30,SKU_0001,3122,3237,0,0
2022-10-31,SKU_0001,2971,3122,0,0
2022-11-02,SKU_0001,2876,2971,0,0
2022-11-03,SKU_0001,2763,2876,0,0
2022-11-04,SKU_0001,2651,2763,0,0
2022-11-05,SKU_0001,2563,2651,0,0
2022-11-06,SKU_0001,2478,2563,0,0
2022-11-07,SKU_0001,2358,2478,0,0
2022-11-08,SKU_0001,2272,2358,0,0
2022-11-09,SKU_0001,2178,2272,0,0
2022-11-10,SKU_0001,2058,2178,0,0
2022-11-11,SKU_0001,10150,2058,1,8178
2022-11-13,SKU_0001,10062,10150,0,0
2022-11-14,SKU_0001,9965,10062,0,0
2022-11-15,SKU_0001,9870,9965,0,0
2022-11-16,SKU_0001,9751,9870,0,0
2022-11-17,SKU_0001,9639,9751,0,0
2022-11-18,SKU_0001,9521,9639,0,0
2022-11-19,SKU_0001,9448,9521,0,0
2022-11-20,SKU_0001,9359,9448,0,0
2022-11-21,SKU_0001,9256,9359,0,0
2022-11-22,SKU_0001,9169,9256,0,0
2022-11-23,SKU_0001,9007,9169,0,0
2022-11-24,SKU_0001,8859,9007,0,0
2022-11-25,SKU_0001,8704,8859,0,0
2022-11-26,SKU_0001,8615,8704,0,0
2022-11-27,SKU_0001,8528,8615,0,0
2022-11-29,SKU_0001,8417,8528,0,0
2022-11-30,SKU_0001,8307,8417,0,0
2022-12-01,SKU_0001,8221,8307,0,0
2022-12-02,SKU_0001,8124,8221,0,0
2022-12-03,SKU_0001,8053,8124,0,0
2022-12-04,SKU_0001,7987,8053,0,0
2022-12-05,SKU_0001,7887,7987,0,0
2022-12-06,SKU_0001,7766,7887,0,0
2022-12-07,SKU_0001,7649,7766,0,0
2022-12-08,SKU_0001,7528,7649,0,0
2022-12-10,SKU_0001,7458,7528,0,0
2022-12-11,SKU_0001,7381,7458,0,0
2022-12-12,SKU_0001,7281,7381,0,0
2022-12-13,SKU_0001,7180,7281,0,0
2022-12-16,SKU_0001,7055,7180,0,0
2022-12-17,SKU_0001,6967,7055,0,0
2022-12-18,SKU_0001,6875,6967,0,0
2022-12-19,SKU_0001,6755,6875,0,0
2022-12-20,SKU_0001,6644,6755,0,0
2022-12-21,SKU_0001,6533,6644,0,0
2022-12-22,SKU_0001,6421,6533,0,0
2022-12-23,SKU_0001,6327,6421,0,0
2022-12-25,SKU_0001,6212,6327,0,0
2022-12-26,SKU_0001,6094,6212,0,0
2022-12-27,SKU_0001,5983,6094,0,0
2022-12-28,SKU_0001,5860,5983,0,0
2022-12-29,SKU_0001,5760,5860,0,0
2022-12-30,SKU_0001,5632,5760,0,0
2022-12-31,SKU_0001,5549,5632,0,0
2023-01-01,SKU_0001,5439,5549,0,0
2023-01-02,SKU_0001,5328,5439,0,0
2023-01-03,SKU_0001,5142,5328,0,0
2023-01-04,SKU_0001,4928,5142,0,0
2023-01-05,SKU_0001,4727,4928,0,0
2023-01-06,SKU_0001,4567,4727,0,0
2023-01-07,SKU_0001,4397,4567,0,0
2023-01-08,SKU_0001,4308,4397,0,0
2023-01-09,SKU_0001,4187,4308,0,0
2023-01-10,SKU_0001,4089,4187,0,0
2023-01-11,SKU_0001,3982,4089,0,0
2023-01-12,SKU_0001,3883,3982,0,0
2023-01-14,SKU_0001,3815,3883,0,0
2023-01-15,SKU_0001,3718,3815,0,0
2023-01-16,SKU_0001,3610,3718,0,0
2023-01-17,SKU_0001,3502,3610,0,0
2023-01-18,SKU_0001,3394,3502,0,0
2023-01-19,SKU_0001,3286,3394,0,0
2023-01-20,SKU_0001,3175,3286,0,0
2023-01-21,SKU_0001,3106,3175,0,0
2023-01-22,SKU_0001,3010,3106,0,0
2023-01-23,SKU_0001,2824,3010,0,0
2023-01-24,SKU_0001,2650,2824,0,0
2023-01-25,SKU_0001,2538,2650,0,0
2023-01-27,SKU_0001,2314,2538,0,0
2023-01-28,SKU_0001,2216,2314,0,0
2023-01-29,SKU_0001,2138,2216,0,0
2023-02-01,SKU_0001,10216,2138,1,8178
2023-02-02,SKU_0001,10123,10216,0,0
2023-02-03,SKU_0001,10016,10123,0,0
2023-02-04,SKU_0001,9859,10016,0,0
2023-02-05,SKU_0001,9710,9859,0,0
2023-02-06,SKU_0001,9614,9710,0,0
2023-02-07,SKU_0001,9496,9614,0,0
2023-02-08,SKU_0001,9383,9496,0,0
2023-02-09,SKU_0001,9249,9383,0,0
2023-02-10,SKU_0001,9128,9249,0,0
2023-02-11,SKU_0001,9043,9128,0,0
2023-02-12,SKU_0001,8960,9043,0,0
2023-02-13,SKU_0001,8834,8960,0,0
2023-02-14,SKU_0001,8646,8834,0,0
2023-02-15,SKU_0001,8538,8646,0,0
2023-02-16,SKU_0001,8430,8538,0,0
2023-02-17,SKU_0001,8315,8430,0,0
2023-02-18,SKU_0001,8225,8315,0,0
2023-02-19,SKU_0001,8142,8225,0,0
2023-02-20,SKU_0001,8025,8142,0,0
2023-02-21,SKU_0001,7930,8025,0,0
2023-02-22,SKU_0001,7839,7930,0,0
2023-02-23,SKU_0001,7747,7839,0,0
2023-02-24,SKU_0001,7632,7747,0,0
2023-02-25,SKU_0001,7556,7632,0,0
2023-02-26,SKU_0001,7484,7556,0,0
2023-02-27,SKU_0001,7350,7484,0,0
2023-02-28,SKU_0001,7235,7350,0,0
2023-03-01,SKU_0001,7143,7235,0,0
2023-03-02,SKU_0001,7015,7143,0,0
2023-03-03,SKU_0001,6919,7015,0,0
2023-03-04,SKU_0001,6830,6919,0,0
2023-03-05,SKU_0001,6739,6830,0,0
2023-03-06,SKU_0001,6642,6739,0,0
2023-03-07,SKU_0001,6505,6642,0,0
2023-03-08,SKU_0001,6368,6505,0,0
2023-03-09,SKU_0001,6270,6368,0,0
2023-03-10,SKU_0001,6168,6270,0,0
2023-03-11,SKU_0001,6082,6168,0,0
2023-03-12,SKU_0001,6000,6082,0,0
2023-03-13,SKU_0001,5885,6000,0,0
2023-03-14,SKU_0001,5754,5885,0,0
2023-03-15,SKU_0001,5644,5754,0,0
2023-03-16,SKU_0001,5531,5644,0,0
2023-03-17,SKU_0001,5413,5531,0,0
2023-03-18,SKU_0001,5320,5413,0,0
2023-03-19,SKU_0001,5247,5320,0,0
2023-03-20,SKU_0001,5118,5247,0,0
2023-03-21,SKU_0001,5002,5118,0,0
2023-03-22,SKU_0001,4901,5002,0,0
2023-03-23,SKU_0001,4768,4901,0,0
2023-03-24,SKU_0001,4636,4768,0,0
2023-03-25,SKU_0001,4558,4636,0,0
2023-03-26,SKU_0001,4461,4558,0,0
2023-03-27,SKU_0001,4328,4461,0,0
2023-03-28,SKU_0001,4226,4328,0,0
2023-03-29,SKU_0001,4085,4226,0,0
2023-03-30,SKU_0001,3952,4085,0,0
2023-03-31,SKU_0001,3821,3952,0,0
2023-04-01,SKU_0001,3737,3821,0,0
2023-04-02,SKU_0001,3636,3737,0,0
2023-04-03,SKU_0001,3507,3636,0,0
2023-04-04,SKU_0001,3372,3507,0,0
2023-04-05,SKU_0001,3234,3372,0,0
2023-04-06,SKU_0001,3111,3234,0,0
2023-04-07,SKU_0001,2999,3111,0,0
2023-04-08,SKU_0001,2924,2999,0,0
2023-04-09,SKU_0001,2809,2924,0,0
2023-04-11,SKU_0001,2667,2809,0,0
2023-04-12,SKU_0001,2547,2667,0,0
2023-04-13,SKU_0001,2415,2547,0,0
2023-04-14,SKU_0001,2305,2415,0,0
2023-04-15,SKU_0001,2212,2305,0,0
2023-04-16,SKU_0001,2122,2212,0,0
2023-04-17,SKU_0001,10102,2122,1,8178
2023-04-18,SKU_0001,9963,10102,0,0
2023-04-19,SKU_0001,9846,9963,0,0
2023-04-20,SKU_0001,9721,9846,0,0
2023-04-21,SKU_0001,9602,9721,0,0
2023-04-23,SKU_0001,9504,9602,0,0
2023-04-24,SKU_0001,9396,9504,0,0
2023-04-26,SKU_0001,9252,9396,0,0
2023-04-27,SKU_0001,9120,9252,0,0
2023-04-29,SKU_0001,9013,9120,0,0
2023-04-30,SKU_0001,8915,9013,0,0
2023-05-01,SKU_0001,8778,8915,0,0
2023-05-02,SKU_0001,8645,8778,0,0
2023-05-03,SKU_0001,8509,8645,0,0
2023-05-04,SKU_0001,8402,8509,0,0
2023-05-06,SKU_0001,8325,8402,0,0
2023-05-07,SKU_0001,8226,8325,0,0
2023-05-08,SKU_0001,8128,8226,0,0
2023-05-09,SKU_0001,7990,8128,0,0
2023-05-10,SKU_0001,7848,7990,0,0
2023-05-11,SKU_0001,7745,7848,0,0
2023-05-12,SKU_0001,7611,7745,0,0
2023-05-14,SKU_0001,7524,7611,0,0
2023-05-15,SKU_0001,7394,7524,0,0
2023-05-17,SKU_0001,7290,7394,0,0
2023-05-18,SKU_0001,7157,7290,0,0
2023-05-19,SKU_0001,7016,7157,0,0
2023-05-20,SKU_0001,6922,7016,0,0
2023-05-21,SKU_0001,6819,6922,0,0
2023-05-22,SKU_0001,6572,6819,0,0
2023-05-24,SKU_0001,6327,6572,0,0
2023-05-25,SKU_0001,6136,6327,0,0
2023-05-26,SKU_0001,5901,6136,0,0
2023-05-27,SKU_0001,5803,5901,0,0
2023-05-28,SKU_0001,5654,5803,0,0
2023-05-29,SKU_0001,5491,5654,0,0
2023-05-30,SKU_0001,5295,5491,0,0
2023-05-31,SKU_0001,5051,5295,0,0
2023-06-01,SKU_0001,4937,5051,0,0
2023-06-02,SKU_0001,4832,4937,0,0
2023-06-03,SKU_0001,4725,4832,0,0
2023-06-04,SKU_0001,4625,4725,0,0
2023-06-05,SKU_0001,4410,4625,0,0
2023-06-06,SKU_0001,4154,4410,0,0
2023-06-07,SKU_0001,3903,4154,0,0
2023-06-08,SKU_0001,3781,3903,0,0
2023-06-10,SKU_0001,3583,3781,0,0
2023-06-11,SKU_0001,3431,3583,0,0
2023-06-12,SKU_0001,3244,3431,0,0
2023-06-13,SKU_0001,3026,3244,0,0
2023-06-14,SKU_0001,2806,3026,0,0
2023-06-15,SKU_0001,2620,2806,0,0
2023-06-16,SKU_0001,2368,2620,0,0
2023-06-17,SKU_0001,2183,2368,0,0
2023-06-18,SKU_0001,2079,2183,0,0
2023-06-19,SKU_0001,10045,2079,1,8178
2023-06-20,SKU_0001,9893,10045,0,0
2023-06-21,SKU_0001,9665,9893,0,0
2023-06-22,SKU_0001,9521,9665,0,0
2023-06-23,SKU_0001,9282,9521,0,0
2023-06-24,SKU_0001,9175,9282,0,0
2023-06-25,SKU_0001,9083,9175,0,0
2023-06-26,SKU_0001,8943,9083,0,0
2023-06-27,SKU_0001,8838,8943,0,0
2023-06-28,SKU_0001,8696,8838,0,0
2023-06-29,SKU_0001,8579,8696,0,0
2023-06-30,SKU_0001,8469,8579,0,0
2023-07-01,SKU_0001,8367,8469,0,0
2023-07-02,SKU_0001,8272,8367,0,0
2023-07-03,SKU_0001,8159,8272,0,0
2023-07-04,SKU_0001,7990,8159,0,0
2023-07-05,SKU_0001,7875,7990,0,0
2023-07-06,SKU_0001,7742,7875,0,0
2023-07-07,SKU_0001,7604,7742,0,0
2023-07-08,SKU_0001,7489,7604,0,0
2023-07-09,SKU_0001,7387,7489,0,0
2023-07-10,SKU_0001,7252,7387,0,0
2023-07-11,SKU_0001,7137,7252,0,0
2023-07-12,SKU_0001,6986,7137,0,0
2023-07-13,SKU_0001,6833,6986,0,0
2023-07-14,SKU_0001,6704,6833,0,0
2023-07-15,SKU_0001,6597,6704,0,0
2023-07-16,SKU_0001,6477,6597,0,0
2023-07-17,SKU_0001,6345,6477,0,0
2023-07-18,SKU_0001,6207,6345,0,0
2023-07-19,SKU_0001,6061,6207,0,0
2023-07-20,SKU_0001,5918,6061,0,0
2023-07-21,SKU_0001,5766,5918,0,0
2023-07-22,SKU_0001,5672,5766,0,0
2023-07-23,SKU_0001,5551,5672,0,0
2023-07-24,SKU_0001,5398,5551,0,0
2023-07-25,SKU_0001,5259,5398,0,0
2023-07-26,SKU_0001,5104,5259,0,0
2023-07-27,SKU_0001,4960,5104,0,0
2023-07-28,SKU_0001,4851,4960,0,0
2023-07-29,SKU_0001,4742,4851,0,0
2023-07-30,SKU_0001,4640,4742,0,0
2023-07-31,SKU_0001,4418,4640,0,0
2023-08-01,SKU_0001,4147,4418,0,0
2023-08-02,SKU_0001,4000,4147,0,0
2023-08-03,SKU_0001,3764,4000,0,0
2023-08-04,SKU_0001,3622,3764,0,0
2023-08-05,SKU_0001,3452,3622,0,0
2023-08-06,SKU_0001,3350,3452,0,0
2023-08-07,SKU_0001,3216,3350,0,0
2023-08-08,SKU_0001,3085,3216,0,0
2023-08-09,SKU_0001,2969,3085,0,0
2023-08-11,SKU_0001,2818,2969,0,0
2023-08-12,SKU_0001,2721,2818,0,0
2023-08-13,SKU_0001,2622,2721,0,0
2023-08-14,SKU_0001,2463,2622,0,0
2023-08-15,SKU_0001,2310,2463,0,0
2023-08-16,SKU_0001,2186,2310,0,0
2023-08-17,SKU_0001,2054,2186,0,0
2023-08-18,SKU_0001,10073,2054,1,8178
2023-08-19,SKU_0001,9955,10073,0,0
2023-08-20,SKU_0001,9837,9955,0,0
2023-08-21,SKU_0001,9709,9837,0,0
2023-08-23,SKU_0001,9557,9709,0,0
2023-08-24,SKU_0001,9421,9557,0,0
2023-08-25,SKU_0001,9299,9421,0,0
2023-08-26,SKU_0001,9199,9299,0,0
2023-08-27,SKU_0001,9116,9199,0,0
2023-08-28,SKU_0001,8999,9116,0,0
2023-08-29,SKU_0001,8838,8999,0,0
2023-08-30,SKU_0001,8701,8838,0,0
2023-08-31,SKU_0001,8557,8701,0,0
2023-09-01,SKU_0001,8446,8557,0,0
2023-09-02,SKU_0001,8343,8446,0,0
2023-09-03,SKU_0001,8233,8343,0,0
2023-09-04,SKU_0001,8032,8233,0,0
2023-09-05,SKU_0001,7761,8032,0,0
2023-09-06,SKU_0001,7563,7761,0,0
2023-09-07,SKU_0001,7412,7563,0,0
2023-09-08,SKU_0001,7250,7412,0,0
2023-09-09,SKU_0001,7137,7250,0,0
2023-09-10,SKU_0001,7034,7137,0,0
2023-09-11,SKU_0001,6893,7034,0,0
